"Reporting starts","Reporting ends","Ad name","Ad delivery","Attribution setting",Results,"Result indicator",Reach,Frequency,"Cost per results","Ad set budget","Ad set budget type","Amount spent (USD)",Ends,"Quality ranking","Engagement rate ranking","Conversion rate ranking",Impressions,"CPM (cost per 1,000 impressions) (USD)","Link clicks",shop_clicks,"CPC (cost per link click) (USD)","CTR (link click-through rate)","Clicks (all)","CTR (all)","CPC (all) (USD)","Landing page views","Cost per landing page view (USD)",CPMr,ROAS,"3-second video plays rate per impressions","Ad set name","Ad ID","Ad Efficiency Index","Campaign name","Ad set ID"
2026-06-07,2026-07-06,"000AIO - 001NYS - 002PEN - 003TSAasianmale - 004MULTI - 005SE - 006STT - 007VO - 008TOF - 009V2 - 01045s - 011FAI - 012YWO - 013USA - 014CL - 0150424",active,"7-day click or 1-day view",11,actions:offsite_conversion.fb_pixel_purchase,164621,1.032317,406.23818182,"Using campaign budget",0,4468.62,Ongoing,Average,"Above average","Below average - Bottom 35% of ads",169941,26.295126,4158,,1.074704,2.446732,5850,3.442371,0.763867,3997,1.117994,27.14489646,0.91287914,33.1009,"scaling - all - @nobl",120214918947730007,33.62986281,"usa - tof - all",120203688948410007
2026-06-07,2026-07-06,"000AIO - 001NYS - 002TIk - 003UsefulSuitcasespin - 004WHT - 005US - 006FUT - 007VO - 008TOF - 009V1 - 01030s - 011FAI - 012YWO - 013USA - 014UP - 0151216",active,"7-day click or 1-day view",,,2250,1.163556,,"Using campaign budget",0,76.21,Ongoing,Average,Average,"Below average - Bottom 35% of ads",2618,29.110008,35,,2.177429,1.336898,47,1.795264,1.621489,30,2.540333,33.87111111,0,14.782277,"scaling - all - @nobl",120214918990240007,0,"usa - tof - all",120203688948410007
2026-06-07,2026-07-06,"J2v1_000AIO - 001NYS - 002PEN - 003TSABluePen - 004WHT - 005SE - 006STT - 007VO - 008TOF - 009V1 - 01045s - 011FAI - 012YWO - 013USA - 014CL - 0150424",active,"7-day click or 1-day view",27,actions:offsite_conversion.fb_pixel_purchase,600341,1.09917,623.41555556,"Using campaign budget",0,16832.22,Ongoing,Average,"Above average","Below average - Bottom 35% of ads",659877,25.508117,17048,,0.987343,2.583512,33186,5.029119,0.507208,16906,0.995636,28.0377652,0.80628045,42.53717,"scaling - all - @nobl",120215885975110007,28.7569444,"usa - tof - all",120203688948410007
2026-06-07,2026-07-06,"video - June @besttravelfinds LP: Most",active,"7-day click",,,1811,1.130867,,50000,Daily,102.53,Ongoing,-,-,-,2048,50.063477,38,,2.698158,1.855469,57,2.783203,1.798772,47,2.181489,56.61512976,0,19.970703,"usa -  ASC+ - tROAS Ad set",120216022896330007,0,"usa -  asc+ t-roas - all",120216022896320007
2026-06-07,2026-07-06,"static - testimonials all in one",active,"7-day click",2,actions:offsite_conversion.fb_pixel_purchase,1251,1.198241,38.7,50000,Daily,77.4,Ongoing,Average,-,-,1499,51.634423,16,,4.8375,1.067378,33,2.201468,2.345455,14,5.528571,61.8705036,4.98875969,,"usa -  ASC+ - tROAS Ad set",120216022896450007,80.63227871,"usa -  asc+ t-roas - all",120216022896320007
2026-06-07,2026-07-06,"scaling - top 3 - listicle",active,"7-day click",1,actions:offsite_conversion.fb_pixel_purchase,2784,1.299928,130.65,50000,Daily,130.65,Ongoing,-,-,-,3619,36.101133,77,,1.696753,2.12766,85,2.348715,1.537059,59,2.214407,46.92887931,1.81875239,16.744957,"usa -  ASC+ - tROAS Ad set",120216022896470007,38.75550447,"usa -  asc+ t-roas - all",120216022896320007
2026-06-07,2026-07-06,"asmr annie - all - scaling",active,"7-day click",,,83,1.048193,,50000,Daily,3.83,Ongoing,-,-,-,87,44.022989,3,,1.276667,3.448276,3,3.448276,1.276667,2,1.915,46.14457831,0,21.83908,"usa -  ASC+ - tROAS Ad set",120216022896610007,0,"usa -  asc+ t-roas - all",120216022896320007
2026-06-07,2026-07-06,"video - colors",inactive,"7-day click",1,actions:offsite_conversion.fb_pixel_purchase,5278,1.233422,400.72,50000,Daily,400.72,Ongoing,"Below average - Bottom 35% of ads",-,-,6510,61.554531,113,,3.546195,1.735791,139,2.135177,2.882878,102,3.928627,75.92269799,0.45278499,21.105991,"usa -  ASC+ - tROAS Ad set",120216022896660007,5.96376313,"usa -  asc+ t-roas - all",120216022896320007
2026-06-07,2026-07-06,"Video - Holiday Sale Grid Videos - I like my suitcase - 1",active,"7-day click",,,1006,1.272366,,50000,Daily,75.32,Ongoing,Average,-,-,1280,58.84375,17,,4.430588,1.328125,28,2.1875,2.69,9,8.368889,74.87077535,0,31.875,"usa -  ASC+ - tROAS Ad set",120216537057490007,0,"usa -  asc+ t-roas - all",120216022896320007
2026-06-07,2026-07-06,"NY Revision 2 - 3",active,"7-day click",3,actions:offsite_conversion.fb_pixel_purchase,5947,1.360854,136.51666667,50000,Daily,409.55,Ongoing,Average,-,-,8093,50.605462,101,,4.054951,1.247992,130,1.606326,3.150385,64,6.399219,68.86665546,5.04343792,,"usa -  ASC+ - tROAS Ad set",120216979706920007,73.23483166,"usa -  asc+ t-roas - all",120216022896320007
2026-06-07,2026-07-06,"Hype - 1 - Listicle @nobl",active,"7-day click",2,actions:offsite_conversion.fb_pixel_purchase,3202,1.077139,229.635,50000,Daily,459.27,Ongoing,Average,-,-,3449,133.160336,128,,3.588047,3.711221,155,4.494056,2.963032,118,3.892119,143.43222986,1.62166046,47.057118,"usa -  ASC+ - tROAS Ad set",120217267062270007,11.30610925,"usa -  asc+ t-roas - all",120216022896320007
2026-06-07,2026-07-06,"J5v1_000AIO - 001NYS - 002Imnotokay - 003onsale - 004MULTI - 005US - 006FUT - 007DEMO - 008TOF - 009V4 - 01045s - 011FAI - 012YWO - 013USA - 014EN - 0151223",active,"7-day click or 1-day view",2,actions:offsite_conversion.fb_pixel_purchase,16072,1.13452,394.94,"Using campaign budget",0,789.88,Ongoing,Average,"Above average","Below average - Bottom 35% of ads",18234,43.319074,513,,1.539727,2.813425,569,3.120544,1.38819,547,1.444022,49.14634146,1.21401985,31.518043,"scaling - all - @nobl",120217269140960007,24.70214089,"usa - tof - all",120203688948410007
2026-06-07,2026-07-06,"000AIO - 001TK - 002Stealing - 003robbed2k - 004WHT - 005SE - 006STT - 007VO - 008TOF - 009V3 - 01045s - 011FRE - 012YAWO - 013USA - 014EN - 0150226",active,"7-day click or 1-day view",12,actions:offsite_conversion.fb_pixel_purchase,71811,1.104705,435.97833333,"Using campaign budget",0,5231.74,Ongoing,Average,Average,"Below average - Bottom 20% of ads",79330,65.949073,1822,,2.871427,2.296735,2316,2.91945,2.258955,2005,2.609347,72.85429809,1.25644241,58.549099,"scaling - all - @nobl",120220390302590007,17.24596133,"usa - tof - all",120203688948410007
2026-06-07,2026-07-06,"J1v1_000AIO - 001NYS - 002AirBack - 003Water - 004BLK - 005SE - 006FUT - 007DEMO - 008TOF - 009V2B - 01030s - 011FAI - 012YWO - 013USA - 014CL - 0150405",active,"7-day click or 1-day view",11,actions:offsite_conversion.fb_pixel_purchase,290547,1.105952,629.76909091,"Using campaign budget",0,6927.46,Ongoing,Average,"Above average","Below average - Bottom 35% of ads",321331,21.558642,8528,,0.812319,2.653961,12354,3.844634,0.560746,8370,0.827654,23.84282061,0.57018157,38.375071,"scaling - all - @nobl",120224157317820007,23.91418266,"usa - tof - all",120203688948410007
2026-06-07,2026-07-06,"NOBL-INH-2-00062-TariffRnd2 - D4",active,"7-day click",80,actions:offsite_conversion.fb_pixel_purchase,96853,1.932743,139.92575,50000,Daily,11194.06,Ongoing,Average,-,-,187192,59.799885,2292,,4.88397,1.224411,4805,2.566883,2.329669,2224,5.0333,115.57783445,3.47721738,,"usa -  ASC+ - tROAS Ad set",120224518208790007,30.08550383,"usa -  asc+ t-roas - all",120216022896320007
2026-06-07,2026-07-06,"INH - US - cecilee bf",active,"7-day click",,,80,1.05,,50000,Daily,4.8,Ongoing,-,-,-,84,57.142857,3,,1.6,3.571429,3,3.571429,1.6,1,4.8,60,0,41.666667,"usa -  ASC+ - tROAS Ad set",120228431242370007,0,"usa -  asc+ t-roas - all",120216022896320007
