"Reporting starts","Reporting ends","Ad name","Ad delivery","Attribution setting",Results,"Result indicator",Reach,Frequency,"Cost per results","Ad set budget","Ad set budget type","Amount spent (USD)",Ends,"Quality ranking","Engagement rate ranking","Conversion rate ranking",Impressions,"CPM (cost per 1,000 impressions) (USD)","Link clicks",shop_clicks,"CPC (cost per link click) (USD)","CTR (link click-through rate)","Clicks (all)","CTR (all)","CPC (all) (USD)","Landing page views","Cost per landing page view (USD)",CPMr,ROAS,"3-second video plays rate per impressions","Ad set name","Ad ID","Ad Efficiency Index","Campaign name","Ad set ID"
2026-06-30,2026-07-06,"J5v1_000AIO - 001NYS - 002Imnotokay - 003onsale - 004MULTI - 005US - 006FUT - 007DEMO - 008TOF - 009V4 - 01045s - 011FAI - 012YWO - 013USA - 014EN - 0151223",active,"7-day click or 1-day view",1,actions:offsite_conversion.fb_pixel_purchase,6701,1.150276,370.26,"Using campaign budget",0,370.26,Ongoing,"Below average - Bottom 35% of ads","Above average","Below average - Bottom 35% of ads",7708,48.035807,203,,1.823941,2.633627,228,2.957966,1.623947,234,1.582308,55.25443964,0.8224761,30.877011,"scaling - all - @nobl",120217269140960007,14.8852491,"usa - tof - all",120203688948410007
2026-06-30,2026-07-06,"000AIO - 001TK - 002Stealing - 003robbed2k - 004WHT - 005SE - 006STT - 007VO - 008TOF - 009V3 - 01045s - 011FRE - 012YAWO - 013USA - 014EN - 0150226",active,"7-day click or 1-day view",9,actions:offsite_conversion.fb_pixel_purchase,57904,1.039186,424.49,"Using campaign budget",0,3820.41,Ongoing,Average,Average,"Below average - Bottom 20% of ads",60173,63.490436,1400,,2.728864,2.326625,1756,2.918252,2.175632,1584,2.411875,65.97834347,1.37349133,60.384225,"scaling - all - @nobl",120220390302590007,20.81730542,"usa - tof - all",120203688948410007
2026-06-30,2026-07-06,"J1v1_000AIO - 001NYS - 002AirBack - 003Water - 004BLK - 005SE - 006FUT - 007DEMO - 008TOF - 009V2B - 01030s - 011FAI - 012YWO - 013USA - 014CL - 0150405",active,"7-day click or 1-day view",5,actions:offsite_conversion.fb_pixel_purchase,111943,1.039797,414.894,"Using campaign budget",0,2074.47,Ongoing,Average,"Above average","Below average - Bottom 35% of ads",116398,17.822213,3486,,0.595086,2.994897,5414,4.651283,0.383168,3327,0.623526,18.53148477,0.800349,40.474063,"scaling - all - @nobl",120224157317820007,43.18860656,"usa - tof - all",120203688948410007
2026-06-30,2026-07-06,"INH - TS - Sold out 3 times - NUGC - H4",active,"7-day click",,,23,1.043478,,50000,Daily,0.27,Ongoing,-,-,-,24,11.25,,,,,0,0,0,,,11.73913043,0,16.666667,"usa -  ASC+ - tROAS Ad set",120224159348920007,0,"usa -  asc+ t-roas - all",120216022896320007
2026-06-30,2026-07-06,"UGC - US - Goodbye baggage, hello freedom - H2",active,"7-day click",,,2,1,,50000,Daily,0.01,Ongoing,-,-,-,2,5,,,,,0,0,0,,,5,0,,"usa -  ASC+ - tROAS Ad set",120224159348930007,0,"usa -  asc+ t-roas - all",120216022896320007
2026-06-30,2026-07-06,NOBL-INH-1-00024-LazyGirls-MR-V1A,active,"7-day click",,,7,1,,50000,Daily,0.43,Ongoing,-,-,-,7,61.428571,,,,,0,0,0,,,61.42857143,0,14.285714,"usa -  ASC+ - tROAS Ad set",120224159348950007,0,"usa -  asc+ t-roas - all",120216022896320007
2026-06-30,2026-07-06,"NOBL-INH-2-00062-TariffRnd2 - D4",active,"7-day click",30,actions:offsite_conversion.fb_pixel_purchase,43021,1.82483,149.24266667,50000,Daily,4477.28,Ongoing,Average,-,-,78506,57.031055,956,,4.683347,1.217741,1963,2.500446,2.280835,994,4.504306,104.07196485,3.2513669,,"usa -  ASC+ - tROAS Ad set",120224518208790007,31.24152509,"usa -  asc+ t-roas - all",120216022896320007
2026-06-30,2026-07-06,"INH - TS - Sold out 3 times - UGC - H2",active,"7-day click",,,5,1,,50000,Daily,0.44,Ongoing,-,-,-,5,88,,,,,0,0,0,,,88,0,40,"usa -  ASC+ - tROAS Ad set",120225767371820007,0,"usa -  asc+ t-roas - all",120216022896320007
2026-06-30,2026-07-06,"INH - US - cecilee bf",active,"7-day click",,,1,1,,50000,Daily,0.02,Ongoing,-,-,-,1,20,,,,,0,0,0,,,20,0,,"usa -  ASC+ - tROAS Ad set",120228431242370007,0,"usa -  asc+ t-roas - all",120216022896320007
2026-06-30,2026-07-06,"NOBL-INH-2-00204-TruspilotReviewsAd - 2",active,"7-day click",,,101,1.118812,,50000,Daily,5.36,Ongoing,-,-,-,113,47.433628,2,,2.68,1.769912,4,3.539823,1.34,1,5.36,53.06930693,0,,"usa -  ASC+ - tROAS Ad set",120229604077030007,0,"usa -  asc+ t-roas - all",120216022896320007
